Year,Month,Expense Category,Expense Name,Amount Due,Due Date,Amount Paid,Payment Date,Payment Method
2021,January,CCBill,Chase,217.96,24,72.14,2021-01-27,Bank Draft
2021,January,Utility,Water,30.9,27,20.48,2021-01-11,Bank Draft
2021,January,Mortgage,Internet,410.29,6,340.32,2021-01-30,Bank Draft
2021,January,Misc,Power,339.76,8,168.86,2021-01-09,Bank Draft
2021,February,CCBill,Power,269.1,20,45.2,2021-02-04,Bank Draft
2021,February,Utility,Internet,231.02,4,65.38,2021-02-23,Bank Draft
2021,February,Mortgage,House2,168.53,27,135.78,2021-02-09,Bank Draft
2021,February,Misc,House2,123.46,1,100.96,2021-02-20,Bank Draft
2021,March,CCBill,Power,179.14,9,49.88,2021-03-08,Bank Draft
2021,March,Utility,House2,192.99,13,78.14,2021-03-21,Bank Draft
2021,March,Mortgage,Water,429.64,9,301.69,2021-03-19,Bank Draft
2021,March,Misc,Power,114.01,2,15.89,2021-03-13,Bank Draft
2021,April,CCBill,Chase,232.59,18,7.39,2021-04-09,Bank Draft
2021,April,Utility,Water,474.77,12,80.35,2021-04-12,Bank Draft
2021,April,Mortgage,Amex,220.31,30,1.81,2021-04-18,Bank Draft
2021,April,Misc,Internet,260.21,24,212.32,2021-04-25,Bank Draft
2021,May,CCBill,House1,200.25,1,56.82,2021-05-17,Bank Draft
2021,May,Utility,Internet,282.45,1,281.63,2021-05-23,Bank Draft
2021,May,Mortgage,Internet,291.77,10,115.71,2021-05-07,Bank Draft
2021,May,Misc,Internet,352.46,2,237.92,2021-05-22,Bank Draft
2021,June,CCBill,Amex,101.48,18,51.16,2021-06-21,Bank Draft
2021,June,Utility,Water,331.19,7,95.16,2021-06-16,Bank Draft
2021,June,Mortgage,Power,300.32,21,131.5,2021-06-17,Bank Draft
2021,June,Misc,Internet,430.87,17,190.8,2021-06-17,Bank Draft
2021,July,CCBill,Power,424.06,2,203.72,2021-07-09,Bank Draft
2021,July,Utility,Amex,207.69,25,122.9,2021-07-10,Bank Draft
2021,July,Mortgage,House1,363.09,27,346.49,2021-07-19,Bank Draft
2021,July,Misc,Chase,63.58,16,24.27,2021-07-08,Bank Draft
2021,August,CCBill,House1,89.87,17,77.03,2021-08-09,Bank Draft
2021,August,Utility,Internet,362.59,3,7.44,2021-08-30,Bank Draft
2021,August,Mortgage,Internet,416.8,4,31.51,2021-08-26,Bank Draft
2021,August,Misc,Power,240.03,12,147.78,2021-08-20,Bank Draft
2021,September,CCBill,House1,183.08,16,167.76,2021-09-02,Bank Draft
2021,September,Utility,House1,439.65,4,288.88,2021-09-29,Bank Draft
2021,September,Mortgage,Internet,204.85,29,169.33,2021-09-09,Bank Draft
2021,September,Misc,Power,425.76,6,31.54,2021-09-01,Bank Draft
2021,October,CCBill,House1,455.59,22,12.47,2021-10-11,Bank Draft
2021,October,Utility,Internet,271.66,30,133.46,2021-10-05,Bank Draft
2021,October,Mortgage,Power,195.6,27,27.22,2021-10-09,Bank Draft
2021,October,Misc,House1,361.17,8,8.67,2021-10-04,Bank Draft
2021,November,CCBill,Internet,483.71,7,277.2,2021-11-17,Bank Draft
2021,November,Utility,Water,388.28,29,243.42,2021-11-10,Bank Draft
2021,November,Mortgage,Water,164.34,16,77.72,2021-11-15,Bank Draft
2021,November,Misc,Chase,414.24,22,258.62,2021-11-16,Bank Draft
2021,December,CCBill,Internet,14.18,23,12.15,2021-12-26,Bank Draft
2021,December,Utility,Power,285.28,27,209.76,2021-12-06,Bank Draft
2021,December,Mortgage,House2,280.48,24,62.9,2021-12-16,Bank Draft
2021,December,Misc,Chase,124.24,22,43.42,2021-12-04,Bank Draft
