Year,Month,Expense Category,Expense Name,Amount Due,Due Date,Amount Paid,Payment Date,Payment Method
2018,January,CCBill,Power,307.05,28,62.62,2018-01-11,Bank Draft
2018,January,Utility,Internet,490.93,31,454.3,2018-01-12,Bank Draft
2018,January,Mortgage,Power,112.67,16,5.35,2018-01-17,Bank Draft
2018,January,Misc,Power,104.41,9,99.89,2018-01-14,Bank Draft
2018,February,CCBill,Power,214.75,23,149.28,2018-02-04,Bank Draft
2018,February,Utility,Water,494.13,10,36.34,2018-02-19,Bank Draft
2018,February,Mortgage,Water,34.72,23,31.11,2018-02-14,Bank Draft
2018,February,Misc,Chase,395.08,1,46.31,2018-02-18,Bank Draft
2018,March,CCBill,House2,168.55,29,72.42,2018-03-05,Bank Draft
2018,March,Utility,Amex,69.33,12,36.18,2018-03-14,Bank Draft
2018,March,Mortgage,Water,476.76,28,157.72,2018-03-04,Bank Draft
2018,March,Misc,House1,438.65,4,48.82,2018-03-09,Bank Draft
2018,April,CCBill,Chase,15.58,15,1.66,2018-04-15,Bank Draft
2018,April,Utility,Amex,12.47,22,0.52,2018-04-21,Bank Draft
2018,April,Mortgage,Power,420.92,19,411.52,2018-04-19,Bank Draft
2018,April,Misc,Water,100.01,6,83.06,2018-04-20,Bank Draft
2018,May,CCBill,Power,493.72,29,186.39,2018-05-13,Bank Draft
2018,May,Utility,Internet,143.6,4,130.76,2018-05-08,Bank Draft
2018,May,Mortgage,House1,297.86,8,31.79,2018-05-02,Bank Draft
2018,May,Misc,House1,384.45,9,248.16,2018-05-10,Bank Draft
2018,June,CCBill,Water,403.48,26,400.31,2018-06-20,Bank Draft
2018,June,Utility,House1,305.09,23,13.21,2018-06-14,Bank Draft
2018,June,Mortgage,House2,447.64,26,354.3,2018-06-15,Bank Draft
2018,June,Misc,Amex,328.97,14,209.33,2018-06-08,Bank Draft
2018,July,CCBill,House2,353.23,2,254.84,2018-07-08,Bank Draft
2018,July,Utility,Chase,198.12,30,154.28,2018-07-23,Bank Draft
2018,July,Mortgage,Power,460.85,26,262.73,2018-07-05,Bank Draft
2018,July,Misc,Power,423.66,30,193.98,2018-07-06,Bank Draft
2018,August,CCBill,Power,233.6,11,96.61,2018-08-08,Bank Draft
2018,August,Utility,House2,363.91,12,281.36,2018-08-27,Bank Draft
2018,August,Mortgage,Water,87.14,26,24.18,2018-08-01,Bank Draft
2018,August,Misc,Amex,101.41,4,33.7,2018-08-08,Bank Draft
2018,September,CCBill,House2,146.27,30,26.8,2018-09-15,Bank Draft
2018,September,Utility,House2,71.85,9,39.01,2018-09-29,Bank Draft
2018,September,Mortgage,Amex,461.64,16,314.1,2018-09-08,Bank Draft
2018,September,Misc,House2,86.48,7,36.22,2018-09-19,Bank Draft
2018,October,CCBill,Internet,71.45,26,19.1,2018-10-16,Bank Draft
2018,October,Utility,House2,241.31,16,129.81,2018-10-19,Bank Draft
2018,October,Mortgage,House2,195.06,8,97.93,2018-10-18,Bank Draft
2018,October,Misc,House1,22.43,26,10.41,2018-10-30,Bank Draft
2018,November,CCBill,Power,105.9,25,61.1,2018-11-16,Bank Draft
2018,November,Utility,Chase,41.29,11,9.3,2018-11-13,Bank Draft
2018,November,Mortgage,Chase,28.76,29,11.23,2018-11-10,Bank Draft
2018,November,Misc,Internet,410.75,5,192.95,2018-11-09,Bank Draft
2018,December,CCBill,Amex,16.03,19,9.21,2018-12-15,Bank Draft
2018,December,Utility,Amex,25.59,14,15.18,2018-12-20,Bank Draft
2018,December,Mortgage,Internet,424.37,15,420.07,2018-12-10,Bank Draft
2018,December,Misc,House1,369.23,31,280.48,2018-12-08,Bank Draft
