Year,Month,Expense Category,Expense Name,Amount Due,Due Date,Amount Paid,Payment Date,Payment Method
2020,January,CCBill,House1,241.48,10,210.87,2020-01-21,Bank Draft
2020,January,Utility,House1,409.93,6,255.59,2020-01-16,Bank Draft
2020,January,Mortgage,Power,484.54,23,78.91,2020-01-20,Bank Draft
2020,January,Misc,House1,460.76,22,280.72,2020-01-19,Bank Draft
2020,February,CCBill,Water,414.77,2,32.55,2020-02-04,Bank Draft
2020,February,Utility,Internet,28.12,3,17.31,2020-02-14,Bank Draft
2020,February,Mortgage,Chase,149.84,8,118.0,2020-02-26,Bank Draft
2020,February,Misc,Power,343.66,1,186.31,2020-02-13,Bank Draft
2020,March,CCBill,Power,449.14,9,325.43,2020-03-27,Bank Draft
2020,March,Utility,Power,351.12,26,27.23,2020-03-01,Bank Draft
2020,March,Mortgage,Amex,103.36,22,81.0,2020-03-23,Bank Draft
2020,March,Misc,Amex,158.09,23,125.53,2020-03-14,Bank Draft
2020,April,CCBill,House2,34.42,6,20.39,2020-04-04,Bank Draft
2020,April,Utility,Chase,427.87,24,378.94,2020-04-25,Bank Draft
2020,April,Mortgage,Water,409.11,12,229.57,2020-04-28,Bank Draft
2020,April,Misc,House2,466.06,16,451.59,2020-04-19,Bank Draft
2020,May,CCBill,Amex,321.76,9,39.85,2020-05-16,Bank Draft
2020,May,Utility,House2,263.82,5,227.13,2020-05-29,Bank Draft
2020,May,Mortgage,Power,41.94,12,19.36,2020-05-26,Bank Draft
2020,May,Misc,Water,189.65,23,23.16,2020-05-24,Bank Draft
2020,June,CCBill,Power,452.11,15,451.03,2020-06-18,Bank Draft
2020,June,Utility,Power,324.54,24,293.4,2020-06-08,Bank Draft
2020,June,Mortgage,House1,80.29,12,54.27,2020-06-21,Bank Draft
2020,June,Misc,Water,310.43,21,277.25,2020-06-25,Bank Draft
2020,July,CCBill,House1,333.68,4,282.69,2020-07-05,Bank Draft
2020,July,Utility,Power,225.93,10,221.22,2020-07-16,Bank Draft
2020,July,Mortgage,House1,215.5,6,38.5,2020-07-01,Bank Draft
2020,July,Misc,Chase,65.79,27,24.09,2020-07-30,Bank Draft
2020,August,CCBill,Power,90.71,7,75.76,2020-08-02,Bank Draft
2020,August,Utility,Power,95.27,20,72.57,2020-08-25,Bank Draft
2020,August,Mortgage,House2,71.07,8,24.68,2020-08-21,Bank Draft
2020,August,Misc,House2,122.07,10,84.29,2020-08-22,Bank Draft
2020,September,CCBill,Chase,405.51,27,372.22,2020-09-01,Bank Draft
2020,September,Utility,House1,257.83,29,145.28,2020-09-04,Bank Draft
2020,September,Mortgage,Power,123.6,21,96.01,2020-09-25,Bank Draft
2020,September,Misc,Internet,432.69,29,314.13,2020-09-01,Bank Draft
2020,October,CCBill,Amex,96.4,12,84.61,2020-10-27,Bank Draft
2020,October,Utility,Power,431.13,8,122.64,2020-10-03,Bank Draft
2020,October,Mortgage,Chase,186.69,17,147.13,2020-10-24,Bank Draft
2020,October,Misc,Amex,413.79,2,29.98,2020-10-06,Bank Draft
2020,November,CCBill,Amex,233.37,16,85.81,2020-11-21,Bank Draft
2020,November,Utility,Internet,350.21,20,83.54,2020-11-01,Bank Draft
2020,November,Mortgage,Internet,111.47,3,81.83,2020-11-27,Bank Draft
2020,November,Misc,Amex,97.42,29,46.47,2020-11-05,Bank Draft
2020,December,CCBill,House2,22.54,22,12.0,2020-12-07,Bank Draft
2020,December,Utility,Chase,198.17,10,192.3,2020-12-08,Bank Draft
2020,December,Mortgage,Water,229.96,29,175.91,2020-12-01,Bank Draft
2020,December,Misc,Chase,78.78,31,22.59,2020-12-14,Bank Draft
