Year,Month,Expense Category,Expense Name,Amount Due,Due Date,Amount Paid,Payment Date,Payment Method
2023,January,CCBill,House2,444.38,31,271.86,2023-01-20,Bank Draft
2023,January,Utility,House1,437.56,4,280.68,2023-01-25,Bank Draft
2023,January,Mortgage,Water,119.72,30,97.84,2023-01-08,Bank Draft
2023,January,Misc,Amex,111.26,28,30.5,2023-01-24,Bank Draft
2023,February,CCBill,House2,456.01,8,32.9,2023-02-18,Bank Draft
2023,February,Utility,Water,479.89,20,179.52,2023-02-18,Bank Draft
2023,February,Mortgage,Chase,288.29,14,111.71,2023-02-10,Bank Draft
2023,February,Misc,Internet,253.71,21,50.8,2023-02-05,Bank Draft
2023,March,CCBill,House1,203.07,6,198.01,2023-03-04,Bank Draft
2023,March,Utility,House1,143.92,11,91.69,2023-03-23,Bank Draft
2023,March,Mortgage,Internet,56.77,17,54.39,2023-03-26,Bank Draft
2023,March,Misc,Power,157.91,25,133.16,2023-03-17,Bank Draft
2023,April,CCBill,Chase,283.36,19,37.28,2023-04-09,Bank Draft
2023,April,Utility,Internet,489.73,8,380.9,2023-04-18,Bank Draft
2023,April,Mortgage,Power,160.52,2,64.77,2023-04-10,Bank Draft
2023,April,Misc,House2,129.01,8,38.09,2023-04-03,Bank Draft
2023,May,CCBill,Chase,306.45,5,101.41,2023-05-02,Bank Draft
2023,May,Utility,Chase,242.22,5,235.4,2023-05-01,Bank Draft
2023,May,Mortgage,House1,303.23,27,87.06,2023-05-20,Bank Draft
2023,May,Misc,Water,354.5,18,339.35,2023-05-27,Bank Draft
2023,June,CCBill,Internet,276.99,1,173.6,2023-06-07,Bank Draft
2023,June,Utility,House1,463.25,8,389.05,2023-06-27,Bank Draft
2023,June,Mortgage,Water,457.21,25,269.66,2023-06-03,Bank Draft
2023,June,Misc,Internet,285.08,26,223.45,2023-06-12,Bank Draft
2023,July,CCBill,Internet,311.19,11,49.21,2023-07-17,Bank Draft
2023,July,Utility,House1,177.06,29,58.25,2023-07-19,Bank Draft
2023,July,Mortgage,Chase,460.29,19,314.78,2023-07-04,Bank Draft
2023,July,Misc,Chase,318.17,1,226.24,2023-07-13,Bank Draft
2023,August,CCBill,House2,78.4,10,77.84,2023-08-06,Bank Draft
2023,August,Utility,Power,82.48,22,19.08,2023-08-22,Bank Draft
2023,August,Mortgage,Power,232.57,8,168.07,2023-08-15,Bank Draft
2023,August,Misc,House1,421.32,24,260.9,2023-08-18,Bank Draft
2023,September,CCBill,Chase,401.71,24,131.95,2023-09-03,Bank Draft
2023,September,Utility,Amex,19.45,18,0.91,2023-09-05,Bank Draft
2023,September,Mortgage,Chase,150.33,9,117.73,2023-09-04,Bank Draft
2023,September,Misc,House2,420.79,3,35.3,2023-09-20,Bank Draft
2023,October,CCBill,Amex,138.03,14,99.51,2023-10-05,Bank Draft
2023,October,Utility,Internet,140.88,1,113.88,2023-10-14,Bank Draft
2023,October,Mortgage,Water,308.88,24,61.32,2023-10-29,Bank Draft
2023,October,Misc,Amex,319.52,1,68.38,2023-10-03,Bank Draft
2023,November,CCBill,House2,442.95,22,149.66,2023-11-25,Bank Draft
2023,November,Utility,Water,80.55,25,48.48,2023-11-23,Bank Draft
2023,November,Mortgage,House2,325.67,7,149.72,2023-11-01,Bank Draft
2023,November,Misc,House1,345.15,23,87.4,2023-11-09,Bank Draft
2023,December,CCBill,Chase,290.58,1,31.95,2023-12-24,Bank Draft
2023,December,Utility,Internet,478.69,17,245.13,2023-12-07,Bank Draft
2023,December,Mortgage,House2,36.58,28,4.66,2023-12-09,Bank Draft
2023,December,Misc,Water,154.14,5,19.33,2023-12-07,Bank Draft
