Year,Month,Expense Category,Expense Name,Amount Due,Due Date,Amount Paid,Payment Date,Payment Method
2019,January,CCBill,House2,252.55,19,214.0,2019-01-16,Bank Draft
2019,January,Utility,House1,426.45,31,42.61,2019-01-18,Bank Draft
2019,January,Mortgage,House1,469.11,26,152.03,2019-01-11,Bank Draft
2019,January,Misc,Amex,371.9,8,276.26,2019-01-04,Bank Draft
2019,February,CCBill,Chase,436.45,14,10.96,2019-02-05,Bank Draft
2019,February,Utility,Chase,371.24,28,5.92,2019-02-27,Bank Draft
2019,February,Mortgage,Chase,70.46,5,7.24,2019-02-15,Bank Draft
2019,February,Misc,Water,394.11,18,10.82,2019-02-25,Bank Draft
2019,March,CCBill,House2,103.43,2,22.84,2019-03-03,Bank Draft
2019,March,Utility,Power,380.8,7,79.92,2019-03-14,Bank Draft
2019,March,Mortgage,Amex,156.07,22,127.06,2019-03-12,Bank Draft
2019,March,Misc,Chase,84.22,30,35.6,2019-03-04,Bank Draft
2019,April,CCBill,House2,322.54,28,174.4,2019-04-22,Bank Draft
2019,April,Utility,Power,168.16,14,104.85,2019-04-08,Bank Draft
2019,April,Mortgage,Chase,491.93,9,397.49,2019-04-21,Bank Draft
2019,April,Misc,Water,113.83,22,7.77,2019-04-10,Bank Draft
2019,May,CCBill,Power,416.2,24,20.27,2019-05-16,Bank Draft
2019,May,Utility,Internet,29.26,31,23.88,2019-05-18,Bank Draft
2019,May,Mortgage,Water,270.68,11,38.89,2019-05-08,Bank Draft
2019,May,Misc,Water,205.75,11,187.05,2019-05-17,Bank Draft
2019,June,CCBill,Water,35.41,30,1.25,2019-06-08,Bank Draft
2019,June,Utility,Power,356.74,5,305.89,2019-06-13,Bank Draft
2019,June,Mortgage,Water,158.31,29,111.95,2019-06-11,Bank Draft
2019,June,Misc,Power,238.49,17,196.0,2019-06-18,Bank Draft
2019,July,CCBill,Water,306.75,31,137.89,2019-07-06,Bank Draft
2019,July,Utility,Amex,364.13,2,51.18,2019-07-05,Bank Draft
2019,July,Mortgage,House2,132.07,31,91.22,2019-07-11,Bank Draft
2019,July,Misc,Chase,431.08,22,89.14,2019-07-03,Bank Draft
2019,August,CCBill,Water,441.55,30,91.4,2019-08-21,Bank Draft
2019,August,Utility,House2,125.8,14,54.94,2019-08-02,Bank Draft
2019,August,Mortgage,House1,259.66,9,139.77,2019-08-16,Bank Draft
2019,August,Misc,Water,278.01,2,41.51,2019-08-11,Bank Draft
2019,September,CCBill,Amex,331.69,28,219.02,2019-09-17,Bank Draft
2019,September,Utility,Chase,59.26,5,53.98,2019-09-28,Bank Draft
2019,September,Mortgage,Internet,183.01,25,85.26,2019-09-03,Bank Draft
2019,September,Misc,House1,38.32,6,1.03,2019-09-05,Bank Draft
2019,October,CCBill,Chase,215.6,3,114.59,2019-10-07,Bank Draft
2019,October,Utility,Power,311.17,9,243.29,2019-10-09,Bank Draft
2019,October,Mortgage,Chase,455.61,4,123.3,2019-10-05,Bank Draft
2019,October,Misc,Chase,90.56,25,16.81,2019-10-22,Bank Draft
2019,November,CCBill,Amex,367.18,24,128.5,2019-11-17,Bank Draft
2019,November,Utility,House1,153.37,24,6.51,2019-11-24,Bank Draft
2019,November,Mortgage,Internet,44.14,13,24.88,2019-11-22,Bank Draft
2019,November,Misc,Water,146.23,9,48.37,2019-11-18,Bank Draft
2019,December,CCBill,Chase,421.77,29,44.51,2019-12-25,Bank Draft
2019,December,Utility,Internet,106.26,18,48.39,2019-12-14,Bank Draft
2019,December,Mortgage,House2,14.76,25,13.42,2019-12-10,Bank Draft
2019,December,Misc,Power,251.45,2,39.51,2019-12-30,Bank Draft
